Date,Open,High,Low,Close,Adj Close,Volume
2019-10-28,48.500000,48.750000,48.230000,48.689999,48.689999,15240000
2019-10-29,48.799999,49.169998,48.060001,48.110001,48.110001,12183600
2019-10-30,48.220001,48.340000,47.259998,47.880001,47.880001,12932800
2019-10-31,47.279999,47.880001,46.459999,47.549999,47.549999,15445800
2019-11-01,47.480000,48.540001,47.250000,48.380001,48.380001,18311700
2019-11-04,49.389999,49.900002,49.250000,49.590000,49.590000,16021500
2019-11-05,49.619999,49.720001,48.610001,48.680000,48.680000,13682600
2019-11-06,48.150002,48.299999,47.110001,47.680000,47.680000,21803600
2019-11-07,48.520000,49.080002,48.000000,48.400002,48.400002,19253600
2019-11-08,47.560001,48.009998,46.950001,47.189999,47.189999,18518800
2019-11-11,46.720001,46.740002,45.849998,46.259998,46.259998,14635900
2019-11-12,46.799999,47.680000,46.680000,46.900002,46.900002,15170700
2019-11-13,46.500000,46.549999,45.810001,46.299999,46.299999,15423600
2019-11-14,46.119999,46.830002,45.770000,46.799999,46.799999,11797400
2019-11-15,47.599998,48.520000,47.340000,47.709999,47.709999,17859200
2019-11-18,47.950001,48.410000,47.470001,47.820000,47.820000,12631200
2019-11-19,48.110001,48.180000,46.279999,46.580002,46.580002,18384000
2019-11-20,46.150002,46.500000,45.230000,45.570000,45.570000,24660700
2019-11-21,45.299999,46.180000,45.040001,45.549999,45.549999,14192900
2019-11-22,45.930000,46.380001,45.750000,45.869999,45.869999,11253700
2019-11-25,46.099998,47.549999,45.939999,47.520000,47.520000,18803600
2019-11-26,47.650002,47.669998,46.540001,46.720001,46.720001,12849300
2019-11-27,47.349998,48.270000,47.110001,48.160000,48.160000,15409400
2019-11-29,47.939999,47.950001,47.439999,47.509998,47.509998,7343600
2019-12-02,47.570000,47.950001,46.349998,46.389999,46.389999,16053800
2019-12-03,45.119999,45.400002,44.549999,45.230000,45.230000,20321400
2019-12-04,46.180000,46.599998,45.730000,46.299999,46.299999,16921700
2019-12-05,46.709999,47.400002,46.250000,46.619999,46.619999,13003800
2019-12-06,47.439999,48.330002,47.320000,47.930000,47.930000,20468100
2019-12-09,47.570000,47.770000,46.430000,46.450001,46.450001,16540500
2019-12-10,47.040001,47.919998,46.720001,47.459999,47.459999,19263100
2019-12-11,47.750000,49.340000,47.689999,49.259998,49.259998,22081300
2019-12-12,49.360001,51.330002,49.320000,50.970001,50.970001,36590800
2019-12-13,51.020000,52.320000,50.700001,51.200001,51.200001,30039700
2019-12-16,52.759998,54.299999,52.689999,52.939999,52.939999,38629600
2019-12-17,53.990002,54.000000,52.650002,53.000000,53.000000,28344800
